antecedent;consequent;support;confidence
usually good;food;0.00800541590510696;0.5225423177083334
owner many;like;0.0014636907448365628;0.42753095411507647
needed one;great;0.004053201542984383;0.31389398474461716
needed great;one;0.004053201542984383;0.3554948059048661
way many;like;0.0054595415431339936;0.4971616712079927
like many;way;0.0054595415431339936;0.2220250468995589
clean like;even;0.0041890978727860744;0.25703794369645044
clean even;like;0.0041890978727860744;0.40811368881331234
clean work;like;0.0021244710640557947;0.3644140290846878
clean work;even;0.0015484701065477096;0.26561163387510695
maybe;good one;0.00808645500086026;0.21778986602196032
maybe one;good;0.00808645500086026;0.5374098931145911
maybe good;one;0.00808645500086026;0.4400271370420624
maybe back;go;0.0063584521283360056;0.4695700211766873
maybe go;back;0.0063584521283360056;0.5088804629814409
like work;even;0.006444478245366434;0.3191331728097796
even work;like;0.006444478245366434;0.4265907402822481
like many;good;0.011967604309783787;0.4866906657202251
many good;like;0.011967604309783787;0.43145451276519237
menu next lots;good;0.0003914811702544129;0.6555323590814196
next lots good;menu;0.0003914811702544129;0.26883561643835613
half going really;never;0.0006034295745322798;0.30250000000000005
half going never;really;0.0006034295745322798;0.3422913719943423
half really never;going;0.0006034295745322798;0.2734463276836158
half going really;great;0.000796676649020923;0.399375
half going great;really;0.000796676649020923;0.41014120667522463
half really great;going;0.000796676649020923;0.22179798681013535
half going never;great;0.0005435853192067644;0.30834512022630833
half going great;never;0.0005435853192067644;0.2798459563543004
half never great;going;0.0005435853192067644;0.26186186186186183
half really never;great;0.0008029104256173309;0.3638418079096045
half really great;never;0.0008029104256173309;0.22353349531412703
half never great;really;0.0008029104256173309;0.38678678678678674
going hard;really get;0.001280417712902172;0.22210207612456748
going really hard;get;0.001280417712902172;0.5882016036655211
going get hard;really;0.001280417712902172;0.4346170122725349
really get hard;going;0.001280417712902172;0.26
going water;really get;0.00107220957458215;0.2173913043478261
going really water;get;0.00107220957458215;0.6107954545454546
going get water;really;0.00107220957458215;0.4213620774130329
really get water;going;0.00107220957458215;0.2747603833865815
going hard water;really;0.0002181821808742747;0.4888268156424581
really hard water;going;0.0002181821808742747;0.2708978328173375
going really never;great;0.002085821649158066;0.37285491419656785
going really great;never;0.002085821649158066;0.2255933117583603
going never great;really;0.002085821649158066;0.37807909604519774
really never great;going;0.002085821649158066;0.23693527828919414
going really go;went;0.002909926915203184;0.310207336523126
going really went;go;0.002909926915203184;0.4741011578305911
going go went;really;0.002909926915203184;0.375
really go went;going;0.002909926915203184;0.26756849707669383
going hard water;get;0.0002767796808805085;0.6201117318435755
get hard water;going;0.0002767796808805085;0.26811594202898553
